Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,62.575
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,76.989
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,74.453
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,62.261
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,78.841
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,75.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,72.173
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.723
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,83.2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.1926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.677
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,79.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,71.968
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,77.393
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.7951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,72.854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,60.088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,71.609
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,64.467
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.225
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,65.647
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,74.009
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,75.849
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,74.795
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,73.6073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,59.731
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.566
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,74.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,70.416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,60.833
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,54.604
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,52.777
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,81.264
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,79.377
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,78.077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,74.769
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,64.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,59.739
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,63.785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,79.277
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,59.032
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.7243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,77.567
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,81.391
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czechia,CZE,78.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,81.5512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,62.694
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,72.889
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,72.153
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,70.99
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,71.061
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,60.708
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,67.133
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,78.3463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,59.692
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,65.371
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,83.0926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.924
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,82.1317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,82.217
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,66.531
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,62.612
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,72.765
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,80.9414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,64.114
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,82.198
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.0878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.4046341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,74.924
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,76.612
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,71.797
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,59.327
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,59.999
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,68.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,64.052
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,71.462
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,85.3878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.6170731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,83.0658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,70.15
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,68.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,74.832
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.123
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,82.2048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,80.588
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.3439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,71.869
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,84.6156097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,75.184
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,71.37
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,62.675
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,67.266
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,73.274
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,83.4268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,76.567
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,76.92
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,71.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,68.497
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,75.3878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,77.804
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,54.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,60.948
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,72.472
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,81.8073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,74.9292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,81.7414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,85.184
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,65.182
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,63.717
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,75.938
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,79.875
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,58.633
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,82.6536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,64.532
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.1770731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,70.133
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,70.674
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,70.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,72.141
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,75.9317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,73.92
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,61.172
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,66.797
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,62.829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,69.246
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.409756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,80.8349512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,71.795
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,61.451
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,52.887
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,75.6931707317073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,83.209756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,74.757
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,66.269
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,76.657
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,65.787
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,73.182
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,73.665
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,72.119
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,76.6
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,80.9756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,78.041
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,79.099
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,74.3536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,71.3387804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,66.774
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,72.768
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,67.785
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,76.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,68.006
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,74.2292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,77.2365853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,59.763
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,83.7439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,76.8658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,80.5317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,70.199
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,55.967
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,65.252
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,55.48
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,82.3341463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,76.393
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,73.416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,80.149
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.126
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,65.614
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,72.561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,82.4073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,83.1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,72.14
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,67.994
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,66.408
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,79.274
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,68.475
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,61.035
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,70.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,74.406
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,75.292
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkiye,TUR,75.85
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,68.687
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,75.001
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,64.382
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,62.851
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.1851219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,78.946
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,80.9024390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,77.2804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,78.43
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,70.331
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,70.299
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,71.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,75.378
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,79.819512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,74.403
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,64.65
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,62.38
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,61.124
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Eastern and Southern,AFE,63.3138559861117
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Western and Central,AFW,57.2263727312399
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,70.9233595872331
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,72.5748824441501
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,76.1440342769168
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,70.0301281204141
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,76.7626813353234
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,75.9362494445958
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,75.9691924258149
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,81.537121911795
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,77.0253239943765
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,72.2596184664053
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,72.7508448722839
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,80.465036669156
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,61.7595609879609
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,62.7617201814617
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,80.2084048652925
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,73.3979357648895
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,70.8255067290586
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,61.0047255204556
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,64.8918250280166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,63.5890406286563
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,76.7250620203879
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,73.0384092692938
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,72.8303132346882
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,72.927970715721
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,64.6347427935938
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,70.7661770667179
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,62.8704681172108
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,68.6352093572576
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,72.9510790612141
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,72.1726969965726
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (IDA & IBRD countries),TMN,72.1463761984205
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle income,MIC,71.7095062005603
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,NAC,77.7411628196422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Not classified,INX,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,OECD members,OED,79.0085241095494
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Other small states,OSS,68.2501841188187
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pacific island small states,PSS,69.4706100655444
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Post-demographic dividend,PST,80.1474817225743
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,60.2495318388733
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Small states,SST,69.0736465242542
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,SAS,69.7483309161325
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia (IDA & IBRD),TSA,69.7483309161325
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,SSF,60.8488912524736
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (excluding high income),SSA,60.8474896190048
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,60.8488912524737
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Upper middle income,UMC,75.845914916748
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,72.2650112702741
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/30/2023,,,,
